# Model:
# Number_of_Rigid_Bodies:1
# Number_of_Frames:201
# Sampling_Frequency:100

# ***** Coordinates [m] *****
# Frame,Time,Body_1_X,Body_1_Y,Body_1_Ux,Body_1_Uy
110.0,1.1,0.3537,0.3534,0.7074,0.7068
111.0,1.11,0.3537,0.3534,0.7074,0.7068
112.0,1.12,0.3537,0.3534,0.7074,0.7068
113.0,1.13,0.3537,0.3534,0.7074,0.7068
114.0,1.14,0.3537,0.3534,0.7074,0.7068
115.0,1.15,0.3537,0.3534,0.7074,0.7068
116.0,1.16,0.3537,0.3534,0.7074,0.7068
117.0,1.17,0.3537,0.3534,0.7074,0.7068
118.0,1.18,0.3537,0.3534,0.7074,0.7068
119.0,1.19,0.3537,0.3534,0.7074,0.7068
120.0,1.2,0.3537,0.3534,0.7074,0.7068
121.0,1.21,0.3537,0.3534,0.7074,0.7068
122.0,1.22,0.3537,0.3534,0.7074,0.7068
123.0,1.23,0.3537,0.3534,0.7074,0.7068
124.0,1.24,0.3537,0.3534,0.7074,0.7068
125.0,1.25,0.3537,0.3534,0.7074,0.7068
126.0,1.26,0.3537,0.3534,0.7074,0.7068
127.0,1.27,0.3537,0.3534,0.7074,0.7068
128.0,1.28,0.3537,0.3534,0.7074,0.7068
129.0,1.29,0.3537,0.3534,0.7074,0.7068
130.0,1.3,0.3537,0.3534,0.7074,0.7068
131.0,1.31,0.3537,0.3534,0.7074,0.7068
132.0,1.32,0.3537,0.3534,0.7074,0.7068
133.0,1.33,0.3537,0.3534,0.7074,0.7068
134.0,1.34,0.3537,0.3534,0.7074,0.7068
135.0,1.35,0.3537,0.3534,0.7074,0.7068
136.0,1.36,0.3537,0.3534,0.7074,0.7068
137.0,1.37,0.3537,0.3534,0.7074,0.7068
138.0,1.38,0.3537,0.3534,0.7074,0.7068
139.0,1.39,0.3537,0.3534,0.7074,0.7068
140.0,1.4,0.3537,0.3534,0.7074,0.7068
141.0,1.41,0.3537,0.3534,0.7074,0.7068
142.0,1.42,0.3537,0.3534,0.7074,0.7068
143.0,1.43,0.3537,0.3534,0.7074,0.7068
144.0,1.44,0.3537,0.3534,0.7074,0.7068
145.0,1.45,0.3537,0.3534,0.7074,0.7068
146.0,1.46,0.3537,0.3534,0.7074,0.7068
147.0,1.47,0.3537,0.3534,0.7074,0.7068
148.0,1.48,0.3537,0.3534,0.7074,0.7068
149.0,1.49,0.3537,0.3534,0.7074,0.7068
150.0,1.5,0.3537,0.3534,0.7074,0.7068
151.0,1.51,0.3537,0.3534,0.7074,0.7068
152.0,1.52,0.3537,0.3534,0.7074,0.7068
153.0,1.53,0.3537,0.3534,0.7074,0.7068
154.0,1.54,0.3537,0.3534,0.7074,0.7068
155.0,1.55,0.3537,0.3534,0.7074,0.7068
156.0,1.56,0.3537,0.3534,0.7074,0.7068
157.0,1.57,0.3537,0.3534,0.7074,0.7068
158.0,1.58,0.3537,0.3534,0.7074,0.7068
159.0,1.59,0.3537,0.3534,0.7074,0.7068
160.0,1.6,0.3537,0.3534,0.7074,0.7068
161.0,1.61,0.3537,0.3534,0.7074,0.7068
162.0,1.62,0.3537,0.3534,0.7074,0.7068
163.0,1.63,0.3537,0.3534,0.7074,0.7068
164.0,1.64,0.3537,0.3534,0.7074,0.7068
165.0,1.65,0.3537,0.3534,0.7074,0.7068
166.0,1.66,0.3537,0.3534,0.7074,0.7068
167.0,1.67,0.3537,0.3534,0.7074,0.7068
168.0,1.68,0.3537,0.3534,0.7074,0.7068
169.0,1.69,0.3537,0.3534,0.7074,0.7068
170.0,1.7,0.3537,0.3534,0.7074,0.7068
171.0,1.71,0.3537,0.3534,0.7074,0.7068
172.0,1.72,0.3537,0.3534,0.7074,0.7068
173.0,1.73,0.3537,0.3534,0.7074,0.7068
174.0,1.74,0.3537,0.3534,0.7074,0.7068
175.0,1.75,0.3537,0.3534,0.7074,0.7068
176.0,1.76,0.3537,0.3534,0.7074,0.7068
177.0,1.77,0.3537,0.3534,0.7074,0.7068
178.0,1.78,0.3537,0.3534,0.7074,0.7068
179.0,1.79,0.3537,0.3534,0.7074,0.7068
180.0,1.8,0.3537,0.3534,0.7074,0.7068
181.0,1.81,0.3537,0.3534,0.7074,0.7068
182.0,1.82,0.3537,0.3534,0.7074,0.7068
183.0,1.83,0.3537,0.3534,0.7074,0.7068
184.0,1.84,0.3537,0.3534,0.7074,0.7068
185.0,1.85,0.3537,0.3534,0.7074,0.7068
186.0,1.86,0.3537,0.3534,0.7074,0.7068
187.0,1.87,0.3537,0.3534,0.7074,0.7068
188.0,1.88,0.3537,0.3534,0.7074,0.7068
189.0,1.89,0.3537,0.3534,0.7074,0.7068
190.0,1.9,0.3537,0.3534,0.7074,0.7068
191.0,1.91,0.3537,0.3534,0.7074,0.7068
192.0,1.92,0.3537,0.3534,0.7074,0.7068
193.0,1.93,0.3537,0.3534,0.7074,0.7068
194.0,1.94,0.3537,0.3534,0.7074,0.7068
195.0,1.95,0.3537,0.3534,0.7074,0.7068
196.0,1.96,0.3537,0.3534,0.7074,0.7068
197.0,1.97,0.3537,0.3534,0.7074,0.7068
198.0,1.98,0.3537,0.3534,0.7074,0.7068
199.0,1.99,0.3537,0.3534,0.7074,0.7068
200.0,2.0,0.3537,0.3534,0.7074,0.7068

# ***** Velocities [m.s^-1] *****
# Frame,Time,Body_1_X,Body_1_Y,Body_1_Ux,Body_1_Uy
0.0,0.0,-0.0,0.0,-0.0,0.0
1.0,0.01,-0.0,0.0,-0.0,0.0
2.0,0.02,-0.0,0.0,-0.0,0.0
3.0,0.03,-0.0,0.0,-0.0,0.0
4.0,0.04,-0.0,0.0,-0.0,0.0
5.0,0.05,-0.0,0.0,-0.0,0.0
6.0,0.06,-0.0,0.0,-0.0,0.0
7.0,0.07,-0.0,0.0,-0.0,0.0
8.0,0.08,-0.0,0.0,-0.0,0.0
9.0,0.09,-0.0,0.0,-0.0,0.0
10.0,0.1,-0.0,0.0,-0.0,0.0
11.0,0.11,-0.0,0.0,-0.0,0.0
12.0,0.12,-0.0,0.0,-0.0,0.0
13.0,0.13,-0.0,0.0,-0.0,0.0
14.0,0.14,0.0,-0.0,0.0,-0.0
15.0,0.15,0.0,-0.0,0.0,-0.0
16.0,0.16,0.0,-0.0,0.0,-0.0
17.0,0.17,0.0,-0.0,0.0,-0.0
18.0,0.18,0.0,-0.0,0.0,-0.0
19.0,0.19,0.0,-0.0,0.0,-0.0
20.0,0.2,0.0,-0.0,0.0,-0.0
21.0,0.21,0.0,-0.0,0.0,-0.0
22.0,0.22,0.0,-0.0,0.0,-0.0
23.0,0.23,0.0,-0.0,0.0,-0.0
24.0,0.24,0.0,-0.0,0.0,-0.0
25.0,0.25,0.0,-0.0,0.0,-0.0
26.0,0.26,0.0,-0.0,0.0,-0.0
27.0,0.27,0.0,-0.0,0.0,-0.0
28.0,0.28,0.0,-0.0,0.0,-0.0
29.0,0.29,0.0,-0.0,0.0,-0.0
30.0,0.3,0.0,-0.0,0.0,-0.0
31.0,0.31,0.0,-0.0,0.0,-0.0
32.0,0.32,0.0,-0.0,0.0,-0.0
