# Model:
# Number_of_Rigid_Bodies:12
# Number_of_Frames:81
# Sampling_Frequency:100

# ***** Coordinates [m] *****
# Frame,Time,Body_1_X,Body_1_Y,Body_1_Ux,Body_1_Uy,Body_2_X,Body_2_Y,Body_2_Ux,Body_2_Uy,Body_3_X,Body_3_Y,Body_3_Ux,Body_3_Uy,Body_4_X,Body_4_Y,Body_4_Ux,Body_4_Uy,Body_5_X,Body_5_Y,Body_5_Ux,Body_5_Uy,Body_6_X,Body_6_Y,Body_6_Ux,Body_6_Uy,Body_7_X,Body_7_Y,Body_7_Ux,Body_7_Uy,Body_8_X,Body_8_Y,Body_8_Ux,Body_8_Uy,Body_9_X,Body_9_Y,Body_9_Ux,Body_9_Uy,Body_10_X,Body_10_Y,Body_10_Ux,Body_10_Uy,Body_11_X,Body_11_Y,Body_11_Ux,Body_11_Uy,Body_12_X,Body_12_Y,Body_12_Ux,Body_12_Uy,Mixed_Ang_Driver_1,Mixed_Ang_Driver_2,Mixed_Ang_Driver_3,Mixed_Ang_Driver_4,Mixed_Ang_Driver_5,Mixed_Ang_Driver_6,Mixed_Ang_Driver_7,Mixed_Ang_Driver_8,Mixed_Ang_Driver_9,Mixed_Ang_Driver_10,Mixed_Ang_Driver_11,Mixed_Ang_Driver_12
10.0,0.1,-0.7852,1.1262,0.9975,-0.026,-0.7203,1.4633,0.9267,-0.3814,-0.7845,1.1713,1.0048,-0.029,-0.8154,1.1882,0.9693,-0.2634,-0.7427,0.9407,0.7777,0.6194,-0.8623,0.954,0.9943,-0.0449,-0.8159,0.6424,0.9914,-0.1386,-0.7285,0.6512,0.9173,0.3994,-0.8794,0.2762,0.9763,-0.2135,-0.6553,0.2994,0.9956,-0.091,-0.8726,0.0476,0.4465,0.8954,-0.6215,0.0735,0.4584,0.8886,0.026,-0.3644,-0.0028,-0.2393,0.7015,0.2203,-0.1129,0.4367,-0.0764,-0.5019,1.3236,1.1857
11.0,0.11,-0.7734,1.1245,0.9975,-0.0266,-0.7088,1.4616,0.9278,-0.379,-0.7719,1.1697,1.0049,-0.0246,-0.8043,1.1864,0.9677,-0.2693,-0.728,0.9404,0.7626,0.6379,-0.8531,0.9525,0.9936,-0.0575,-0.8073,0.6415,0.9884,-0.1579,-0.7164,0.6492,0.9167,0.4013,-0.8766,0.2765,0.9738,-0.2249,-0.6326,0.297,0.9992,-0.0247,-0.8725,0.0481,0.4529,0.8921,-0.5839,0.0737,0.4002,0.9165,0.0266,-0.3612,0.0021,-0.2448,0.7211,0.2136,-0.1318,0.4392,-0.0686,-0.4373,1.328,1.1838
12.0,0.12,-0.7615,1.1226,0.9974,-0.0266,-0.6973,1.4597,0.9285,-0.3773,-0.7593,1.168,1.005,-0.0199,-0.7932,1.1845,0.9665,-0.274,-0.7134,0.9398,0.7478,0.6551,-0.8436,0.9508,0.9927,-0.0692,-0.7983,0.6405,0.9852,-0.1764,-0.7043,0.6469,0.9168,0.4015,-0.8736,0.2767,0.9708,-0.2375,-0.6106,0.2948,0.9986,0.0405,-0.8723,0.0485,0.4598,0.8886,-0.5475,0.0749,0.3439,0.9392,0.0266,-0.3594,0.0068,-0.2496,0.7392,0.2066,-0.1505,0.4394,-0.0628,-0.3723,1.3332,1.1793
13.0,0.13,-0.7496,1.1205,0.9974,-0.0267,-0.6856,1.4577,0.9292,-0.3756,-0.7468,1.1661,1.0051,-0.0157,-0.7819,1.1824,0.9653,-0.2785,-0.6991,0.9391,0.7339,0.6706,-0.8338,0.9488,0.9919,-0.0793,-0.7892,0.6393,0.9818,-0.1943,-0.6924,0.6444,0.9173,0.4009,-0.8704,0.2769,0.9675,-0.2506,-0.5893,0.2927,0.994,0.1028,-0.8721,0.049,0.4677,0.8844,-0.5124,0.0769,0.2897,0.9575,0.0267,-0.3575,0.0111,-0.2541,0.7561,0.2011,-0.1686,0.4388,-0.0581,-0.3089,1.3379,1.1739
14.0,0.14,-0.7377,1.1184,0.9974,-0.0265,-0.674,1.4555,0.9298,-0.3741,-0.7343,1.1642,1.0051,-0.0119,-0.7705,1.1801,0.9644,-0.282,-0.685,0.9382,0.7208,0.6846,-0.8237,0.9468,0.9911,-0.0881,-0.7798,0.6381,0.9783,-0.2109,-0.6804,0.6418,0.918,0.3995,-0.8668,0.2772,0.9636,-0.2653,-0.5687,0.2909,0.9862,0.1608,-0.8719,0.0496,0.4768,0.8794,-0.4793,0.0795,0.2397,0.9713,0.0266,-0.3559,0.0148,-0.2579,0.7715,0.1958,-0.1858,0.4371,-0.0563,-0.2488,1.3427,1.1672
15.0,0.15,-0.7257,1.1162,0.9973,-0.026,-0.6623,1.4533,0.9302,-0.3734,-0.7219,1.1622,1.0052,-0.0081,-0.7592,1.1778,0.9636,-0.2849,-0.671,0.9372,0.7083,0.6975,-0.8133,0.9445,0.9904,-0.0951,-0.7701,0.6368,0.9747,-0.2268,-0.6683,0.6391,0.9187,0.3982,-0.8629,0.2774,0.9592,-0.2809,-0.5489,0.2892,0.9762,0.2128,-0.8717,0.0502,0.4865,0.8741,-0.4482,0.0824,0.1948,0.9814,0.0261,-0.3557,0.0181,-0.2614,0.7858,0.1917,-0.2026,0.4351,-0.0562,-0.1944,1.3478,1.1603
16.0,0.16,-0.7137,1.114,0.9974,-0.0251,-0.6505,1.451,0.9301,-0.3735,-0.7096,1.1602,1.0052,-0.0044,-0.7476,1.1754,0.9633,-0.2864,-0.6573,0.9361,0.6973,0.7085,-0.8025,0.9422,0.9897,-0.1009,-0.7601,0.6354,0.971,-0.2416,-0.6561,0.6364,0.9193,0.3969,-0.8587,0.2777,0.9542,-0.2976,-0.53,0.2877,0.9654,0.2577,-0.8713,0.0509,0.4972,0.8679,-0.4196,0.0853,0.1564,0.9882,0.0252,-0.3567,0.0208,-0.2639,0.7977,0.1875,-0.2186,0.4328,-0.0585,-0.1467,1.3529,1.153
17.0,0.17,-0.7017,1.1118,0.9974,-0.0239,-0.6387,1.4486,0.9301,-0.3737,-0.6973,1.1582,1.0051,-0.0014,-0.736,1.173,0.963,-0.2876,-0.6439,0.935,0.6875,0.718,-0.7914,0.9397,0.9892,-0.1049,-0.7498,0.634,0.9674,-0.2554,-0.6436,0.6339,0.9197,0.3962,-0.8542,0.2779,0.9486,-0.3155,-0.5119,0.2864,0.9548,0.2947,-0.8709,0.0517,0.5091,0.8609,-0.3936,0.088,0.1247,0.9927,0.0239,-0.3582,0.0225,-0.2663,0.8085,0.1845,-0.2342,0.4307,-0.0629,-0.1074,1.3578,1.1465
18.0,0.18,-0.6896,1.1097,0.9974,-0.0225,-0.6268,1.4464,0.9297,-0.3748,-0.6851,1.1564,1.0051,0.0014,-0.7243,1.1705,0.9631,-0.2874,-0.6307,0.9338,0.6792,0.7259,-0.7798,0.9372,0.9889,-0.1077,-0.7393,0.6326,0.9639,-0.2683,-0.6309,0.6315,0.9196,0.3966,-0.8493,0.2782,0.9422,-0.3341,-0.4947,0.2852,0.9457,0.3228,-0.8704,0.0525,0.5228,0.8526,-0.3702,0.09,0.1,0.9955,0.0226,-0.3607,0.024,-0.2674,0.8173,0.1815,-0.2489,0.4298,-0.0693,-0.0783,1.3615,1.1418
19.0,0.19,-0.6775,1.1077,0.9974,-0.0206,-0.6148,1.4442,0.9291,-0.3762,-0.673,1.1547,1.005,0.0036,-0.7124,1.1682,0.9636,-0.2862,-0.6178,0.9327,0.6722,0.7324,-0.7679,0.9347,0.9887,-0.1091,-0.7283,0.6311,0.9605,-0.2799,-0.6179,0.6294,0.9191,0.3977,-0.8441,0.2785,0.9349,-0.3543,-0.4783,0.2839,0.9388,0.3421,-0.8698,0.0534,0.5383,0.8429,-0.3497,0.0912,0.0825,0.9972,0.0206,-0.364,0.0242,-0.2681,0.8246,0.1789,-0.2629,0.4291,-0.0787,-0.0589,1.3647,1.1388
