# Model:
# Number_of_Rigid_Bodies:12
# Number_of_Frames:109
# Sampling_Frequency:100

# ***** Coordinates [m] *****
# Frame,Time,Body_1_X,Body_1_Y,Body_1_Ux,Body_1_Uy,Body_2_X,Body_2_Y,Body_2_Ux,Body_2_Uy,Body_3_X,Body_3_Y,Body_3_Ux,Body_3_Uy,Body_4_X,Body_4_Y,Body_4_Ux,Body_4_Uy,Body_5_X,Body_5_Y,Body_5_Ux,Body_5_Uy,Body_6_X,Body_6_Y,Body_6_Ux,Body_6_Uy,Body_7_X,Body_7_Y,Body_7_Ux,Body_7_Uy,Body_8_X,Body_8_Y,Body_8_Ux,Body_8_Uy,Body_9_X,Body_9_Y,Body_9_Ux,Body_9_Uy,Body_10_X,Body_10_Y,Body_10_Ux,Body_10_Uy,Body_11_X,Body_11_Y,Body_11_Ux,Body_11_Uy,Body_12_X,Body_12_Y,Body_12_Ux,Body_12_Uy
10.0,0.1,0.1117,0.9539,0.9997,0.0224,0.1311,1.4313,0.9822,-0.1881,0.0836,1.1604,0.9878,-0.1559,0.1065,1.1638,0.9998,0.0183,0.0766,0.9151,0.9673,0.2535,0.165,0.9455,0.6936,0.7204,0.1856,0.6338,0.902,0.4318,0.0822,0.6163,0.9798,-0.2002,0.3061,0.2863,0.9832,0.1824,-0.0598,0.2856,0.766,-0.6429,0.3995,0.0633,0.3013,0.9535,-0.1705,0.073,0.9576,0.2881
11.0,0.11,0.1246,0.9546,0.9997,0.0224,0.1435,1.4321,0.9828,-0.1849,0.0979,1.161,0.9894,-0.1451,0.1179,1.1646,1.0,0.007,0.0937,0.9156,0.964,0.2661,0.1728,0.9444,0.7166,0.6975,0.1975,0.6341,0.9048,0.4259,0.0994,0.6163,0.9847,-0.1744,0.313,0.2853,0.9873,0.1586,-0.0409,0.2878,0.744,-0.6682,0.4011,0.0604,0.3196,0.9475,-0.1615,0.0784,0.9777,0.2099
12.0,0.12,0.1372,0.9555,0.9997,0.0225,0.1556,1.4331,0.9833,-0.1818,0.112,1.1616,0.9911,-0.1335,0.1291,1.1654,1.0,-0.0037,0.1109,0.9163,0.96,0.28,0.1803,0.9435,0.7397,0.6729,0.2089,0.6345,0.9081,0.4188,0.1168,0.6163,0.9894,-0.1455,0.3195,0.2844,0.9906,0.1368,-0.0207,0.2901,0.7224,-0.6915,0.4028,0.0581,0.3325,0.9431,-0.1506,0.0842,0.9907,0.1359
13.0,0.13,0.1495,0.9565,0.9997,0.0228,0.1674,1.4341,0.9839,-0.1789,0.1258,1.1624,0.9926,-0.1212,0.1401,1.1665,0.9999,-0.0137,0.128,0.9172,0.9553,0.2955,0.1876,0.9427,0.7627,0.6467,0.2199,0.6348,0.912,0.4103,0.1344,0.6167,0.9935,-0.1142,0.3255,0.2836,0.9931,0.1171,0.0005,0.2927,0.702,-0.7122,0.4045,0.0563,0.3404,0.9403,-0.1376,0.0905,0.9976,0.0695
14.0,0.14,0.1615,0.9577,0.9997,0.0232,0.1789,1.4354,0.9844,-0.1761,0.1394,1.1634,0.9941,-0.1083,0.1507,1.1676,0.9997,-0.0231,0.1451,0.9183,0.9499,0.3125,0.1946,0.9422,0.7853,0.6191,0.2304,0.6353,0.9164,0.4003,0.152,0.6173,0.9967,-0.081,0.331,0.2828,0.9951,0.0993,0.0227,0.2954,0.6833,-0.7301,0.4062,0.0548,0.3443,0.9389,-0.1225,0.0968,0.9999,0.0135
15.0,0.15,0.1732,0.959,0.9997,0.0238,0.19,1.4367,0.9848,-0.1735,0.1527,1.1645,0.9955,-0.0949,0.1612,1.1689,0.9995,-0.0319,0.1622,0.9196,0.9436,0.331,0.2013,0.9419,0.8071,0.5904,0.2404,0.6357,0.9213,0.3888,0.1696,0.6182,0.9989,-0.0466,0.3361,0.282,0.9965,0.0835,0.0455,0.2983,0.6672,-0.7448,0.408,0.0537,0.3448,0.9387,-0.1054,0.1029,0.9995,-0.0301
16.0,0.16,0.1847,0.9604,0.9997,0.0245,0.2009,1.4382,0.9853,-0.171,0.1657,1.1657,0.9967,-0.0812,0.1713,1.1704,0.9992,-0.0402,0.1791,0.9212,0.9364,0.3509,0.2079,0.9417,0.828,0.5607,0.2499,0.6363,0.9267,0.3759,0.187,0.6194,0.9999,-0.0116,0.3406,0.2812,0.9976,0.0695,0.0688,0.3013,0.6543,-0.7562,0.4096,0.0528,0.343,0.9393,-0.0862,0.1086,0.9982,-0.0599
17.0,0.17,0.196,0.9619,0.9997,0.0253,0.2115,1.4398,0.9857,-0.1686,0.1785,1.1671,0.9977,-0.0673,0.1813,1.1719,0.9989,-0.0479,0.196,0.9231,0.9283,0.3719,0.2142,0.9419,0.8478,0.5302,0.259,0.6369,0.9323,0.3617,0.2043,0.621,0.9997,0.0236,0.3447,0.2806,0.9984,0.0573,0.0925,0.3044,0.6451,-0.7641,0.4113,0.0522,0.3397,0.9405,-0.065,0.1135,0.9971,-0.0755
18.0,0.18,0.207,0.9636,0.9997,0.0262,0.2219,1.4415,0.9861,-0.1662,0.1911,1.1687,0.9986,-0.0534,0.1911,1.1737,0.9985,-0.0553,0.2126,0.9252,0.9191,0.394,0.2204,0.9422,0.8664,0.4994,0.2677,0.6377,0.9381,0.3465,0.2213,0.6229,0.9983,0.0586,0.3485,0.28,0.9989,0.0465,0.1165,0.3074,0.64,-0.7684,0.4129,0.0517,0.3356,0.942,-0.0419,0.1176,0.997,-0.0772
19.0,0.19,0.2178,0.9654,0.9996,0.0272,0.2321,1.4433,0.9865,-0.1638,0.2034,1.1703,0.9992,-0.0395,0.2007,1.1755,0.998,-0.0625,0.2292,0.9276,0.909,0.4167,0.2265,0.9428,0.8836,0.4682,0.276,0.6385,0.9439,0.3303,0.2381,0.6252,0.9956,0.0932,0.352,0.2795,0.9993,0.0371,0.1408,0.3103,0.6393,-0.769,0.4144,0.0514,0.3315,0.9434,-0.0171,0.1206,0.9978,-0.0657
