# Model:
# Number_of_Rigid_Bodies:1
# Number_of_Frames:101
# Sampling_Frequency:100

# ***** Coordinates [m] *****
#Frame,Time,Body_1_X,Body_1_Y,Body_1_Ux,Body_1_Uy
3.0,0.03,0.0003,0.1358,0.0003,0.1358
4.0,0.04,0.0007,0.1811,0.0007,0.1811
5.0,0.05,0.0013,0.2264,0.0013,0.2264
6.0,0.06,0.0022,0.2717,0.0022,0.2717
7.0,0.07,0.0035,0.3169,0.0035,0.3169
8.0,0.08,0.0052,0.3622,0.0052,0.3622
9.0,0.09,0.0075,0.4074,0.0075,0.4074
10.0,0.1,0.0102,0.4526,0.0102,0.4526
11.0,0.11,0.0136,0.4978,0.0136,0.4978
12.0,0.12,0.0177,0.543,0.0177,0.543
13.0,0.13,0.0225,0.5881,0.0225,0.5881
14.0,0.14,0.0281,0.6331,0.0281,0.6331
15.0,0.15,0.0346,0.6781,0.0346,0.6781
16.0,0.16,0.0419,0.723,0.0419,0.723
17.0,0.17,0.0503,0.7678,0.0503,0.7678
18.0,0.18,0.0597,0.8124,0.0597,0.8124
19.0,0.19,0.0702,0.8568,0.0702,0.8568
20.0,0.2,0.0818,0.9011,0.0818,0.9011
21.0,0.21,0.0946,0.9452,0.0946,0.9452
22.0,0.22,0.1088,0.989,0.1088,0.989
23.0,0.23,0.1242,1.0325,0.1242,1.0325
24.0,0.24,0.141,1.0756,0.141,1.0756
25.0,0.25,0.1592,1.1184,0.1592,1.1184
26.0,0.26,0.1789,1.1608,0.1789,1.1608
27.0,0.27,0.2001,1.2027,0.2001,1.2027
28.0,0.28,0.2229,1.244,0.2229,1.244
29.0,0.29,0.2473,1.2847,0.2473,1.2847
30.0,0.3,0.2733,1.3248,0.2733,1.3248
31.0,0.31,0.3011,1.3642,0.3011,1.3642
32.0,0.32,0.3305,1.4027,0.3305,1.4027
33.0,0.33,0.3617,1.4404,0.3617,1.4404
34.0,0.34,0.3947,1.4772,0.3947,1.4772
35.0,0.35,0.4295,1.5128,0.4295,1.5128
36.0,0.36,0.4661,1.5474,0.4661,1.5474
37.0,0.37,0.5045,1.5808,0.5045,1.5808
38.0,0.38,0.5448,1.6128,0.5448,1.6128
39.0,0.39,0.5869,1.6435,0.5869,1.6435
40.0,0.4,0.6308,1.6726,0.6308,1.6726
41.0,0.41,0.6766,1.7002,0.6766,1.7002
42.0,0.42,0.7242,1.726,0.7242,1.726
43.0,0.43,0.7735,1.75,0.7735,1.75
44.0,0.44,0.8246,1.7721,0.8246,1.7721
45.0,0.45,0.8774,1.7922,0.8774,1.7922
46.0,0.46,0.9319,1.8101,0.9319,1.8101
47.0,0.47,0.9879,1.8258,0.9879,1.8258
48.0,0.48,1.0455,1.8391,1.0455,1.8391
49.0,0.49,1.1046,1.85,1.1046,1.85
50.0,0.5,1.1651,1.8582,1.1651,1.8582
51.0,0.51,1.2269,1.8638,1.2269,1.8638
52.0,0.52,1.2898,1.8666,1.2898,1.8666
53.0,0.53,1.3539,1.8666,1.3539,1.8666
54.0,0.54,1.4189,1.8635,1.4189,1.8635
55.0,0.55,1.4848,1.8574,1.4848,1.8574
56.0,0.56,1.5514,1.8481,1.5514,1.8481
57.0,0.57,1.6185,1.8356,1.6185,1.8356
58.0,0.58,1.6861,1.8198,1.6861,1.8198
59.0,0.59,1.7539,1.8007,1.7539,1.8007
60.0,0.6,1.8218,1.7781,1.8218,1.7781
61.0,0.61,1.8896,1.7521,1.8896,1.7521
62.0,0.62,1.9572,1.7226,1.9572,1.7226
63.0,0.63,2.0243,1.6895,2.0243,1.6895
64.0,0.64,2.0908,1.653,2.0908,1.653
65.0,0.65,2.1564,1.6129,2.1564,1.6129
66.0,0.66,2.221,1.5693,2.221,1.5693
67.0,0.67,2.2844,1.5223,2.2844,1.5223
68.0,0.68,2.3463,1.4718,2.3463,1.4718
69.0,0.69,2.4066,1.4179,2.4066,1.4179
70.0,0.7,2.4651,1.3607,2.4651,1.3607
71.0,0.71,2.5215,1.3003,2.5215,1.3003
72.0,0.72,2.5757,1.2367,2.5757,1.2367
73.0,0.73,2.6274,1.1701,2.6274,1.1701
74.0,0.74,2.6766,1.1006,2.6766,1.1006
75.0,0.75,2.7229,1.0283,2.7229,1.0283
76.0,0.76,2.7663,0.9534,2.7663,0.9534
77.0,0.77,2.8066,0.8761,2.8066,0.8761
78.0,0.78,2.8435,0.7965,2.8435,0.7965
79.0,0.79,2.8771,0.7148,2.8771,0.7148
80.0,0.8,2.9071,0.6313,2.9071,0.6313
81.0,0.81,2.9334,0.546,2.9334,0.546
82.0,0.82,2.9559,0.4593,2.9559,0.4593
83.0,0.83,2.9746,0.3714,2.9746,0.3714
84.0,0.84,2.9893,0.2824,2.9893,0.2824
85.0,0.85,3.0,0.1927,3.0,0.1927
86.0,0.86,3.0066,0.1025,3.0066,0.1025
87.0,0.87,3.0092,0.012,3.0092,0.012
88.0,0.88,3.0077,-0.0785,3.0077,-0.0785
89.0,0.89,3.0022,-0.1688,3.0022,-0.1688
90.0,0.9,2.9925,-0.2587,2.9925,-0.2587
91.0,0.91,2.9789,-0.3478,2.9789,-0.3478
92.0,0.92,2.9612,-0.4361,2.9612,-0.4361
93.0,0.93,2.9397,-0.5231,2.9397,-0.5231
94.0,0.94,2.9144,-0.6088,2.9144,-0.6088
95.0,0.95,2.8854,-0.6928,2.8854,-0.6928
96.0,0.96,2.8528,-0.775,2.8528,-0.775
97.0,0.97,2.8167,-0.8552,2.8167,-0.8552
98.0,0.98,2.7773,-0.9331,2.7773,-0.9331
99.0,0.99,2.7347,-1.0087,2.7347,-1.0087
100.0,1.0,2.6892,-1.0816,2.6892,-1.0816

