Time,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38
0.19,-0.6713,1.2964,-0.6849,0.7955,-0.561,1.5771,-0.6698,0.9746,-0.7623,0.9999,-0.4951,0.8201,-0.7858,0.7722,-0.7863,0.432,-0.5318,0.4307,-0.917,0.0832,-0.4077,0.0946,-0.8218,0.0228,-0.2895,0.0862
0.2,-0.6593,1.2944,-0.6721,0.7938,-0.5486,1.5749,-0.6572,0.9733,-0.7501,0.9972,-0.4817,0.8198,-0.7735,0.7696,-0.7772,0.4313,-0.5181,0.429,-0.9159,0.0853,-0.3902,0.0942,-0.8216,0.0228,-0.2714,0.087
0.21,-0.6473,1.2926,-0.6591,0.7922,-0.536,1.5729,-0.6449,0.9722,-0.7376,0.9946,-0.4689,0.8193,-0.7606,0.7669,-0.7676,0.4306,-0.5038,0.4276,-0.9147,0.0876,-0.3751,0.0933,-0.8213,0.0226,-0.256,0.0862
0.22,-0.6352,1.2909,-0.6458,0.7907,-0.5232,1.571,-0.6327,0.9712,-0.7247,0.992,-0.4567,0.8186,-0.747,0.7641,-0.7573,0.4298,-0.4891,0.4266,-0.9132,0.0902,-0.3624,0.0918,-0.821,0.0225,-0.2431,0.0838
0.23,-0.6231,1.2895,-0.6322,0.7893,-0.5103,1.5693,-0.6208,0.9705,-0.7115,0.9895,-0.445,0.8176,-0.7329,0.7614,-0.7462,0.4288,-0.474,0.4258,-0.9113,0.0932,-0.3517,0.0898,-0.8207,0.0223,-0.2324,0.0801
0.24,-0.6107,1.2882,-0.6184,0.7879,-0.4972,1.5678,-0.609,0.97,-0.698,0.987,-0.4339,0.8164,-0.7181,0.7587,-0.7344,0.4277,-0.4588,0.4253,-0.9089,0.0966,-0.3428,0.0874,-0.8204,0.0221,-0.2238,0.075
0.25,-0.5983,1.287,-0.6044,0.7867,-0.484,1.5665,-0.5974,0.9697,-0.6842,0.9847,-0.4235,0.815,-0.7028,0.7561,-0.7216,0.4264,-0.4435,0.4251,-0.9058,0.1004,-0.3354,0.0848,-0.8202,0.022,-0.2169,0.069
0.26,-0.5857,1.2861,-0.5901,0.7856,-0.4706,1.5654,-0.586,0.9696,-0.6701,0.9824,-0.4136,0.8134,-0.6869,0.7535,-0.7078,0.4249,-0.4283,0.425,-0.9019,0.1047,-0.3294,0.0821,-0.82,0.0222,-0.2115,0.0624
0.27,-0.573,1.2853,-0.5757,0.7846,-0.4572,1.5646,-0.5749,0.9698,-0.6557,0.9803,-0.4044,0.8118,-0.6704,0.7511,-0.6927,0.4232,-0.4134,0.4252,-0.8969,0.1095,-0.3244,0.0795,-0.8198,0.0226,-0.2072,0.0555
0.28,-0.5601,1.2848,-0.5611,0.7837,-0.4437,1.5641,-0.564,0.9702,-0.641,0.9783,-0.3959,0.81,-0.6534,0.7488,-0.6764,0.4211,-0.3989,0.4255,-0.8907,0.1148,-0.3204,0.0772,-0.8195,0.0234,-0.204,0.0486
0.29,-0.547,1.2844,-0.5465,0.783,-0.4302,1.5638,-0.5533,0.9708,-0.626,0.9765,-0.3879,0.8082,-0.6359,0.7466,-0.6587,0.4189,-0.3849,0.4259,-0.8831,0.1207,-0.317,0.0751,-0.8191,0.0248,-0.2015,0.0421
0.3,-0.5339,1.2843,-0.5318,0.7825,-0.4166,1.5637,-0.5429,0.9716,-0.6107,0.9748,-0.3807,0.8064,-0.6178,0.7447,-0.6396,0.4164,-0.3715,0.4264,-0.874,0.127,-0.3142,0.0734,-0.8183,0.0268,-0.1996,0.0363
0.31,-0.5207,1.2843,-0.5173,0.7821,-0.403,1.5639,-0.5327,0.9727,-0.5952,0.9733,-0.3741,0.8046,-0.5992,0.7429,-0.6191,0.4137,-0.3588,0.4269,-0.8633,0.1339,-0.312,0.0721,-0.8169,0.0295,-0.1981,0.0312
0.32,-0.5074,1.2846,-0.5028,0.7819,-0.3895,1.5642,-0.5227,0.974,-0.5795,0.972,-0.3681,0.8028,-0.5801,0.7415,-0.5974,0.4111,-0.3469,0.4274,-0.851,0.1411,-0.3101,0.0713,-0.8147,0.033,-0.1971,0.0271
0.33,-0.4942,1.2851,-0.4885,0.7819,-0.376,1.5648,-0.5129,0.9755,-0.5636,0.971,-0.3626,0.8011,-0.5606,0.7403,-0.5746,0.4085,-0.3357,0.4278,-0.8369,0.1485,-0.3086,0.0707,-0.8112,0.0373,-0.1963,0.024
0.34,-0.481,1.2857,-0.4745,0.7821,-0.3626,1.5655,-0.5033,0.9772,-0.5475,0.9702,-0.3577,0.7995,-0.5405,0.7394,-0.5508,0.4061,-0.3254,0.4282,-0.8213,0.1561,-0.3074,0.0705,-0.8062,0.0422,-0.1957,0.0218
0.35,-0.4678,1.2866,-0.4608,0.7824,-0.3493,1.5664,-0.4939,0.979,-0.5313,0.9696,-0.3533,0.798,-0.5201,0.7389,-0.5264,0.4041,-0.316,0.4283,-0.804,0.1637,-0.3065,0.0705,-0.7991,0.0476,-0.1953,0.0204
0.36,-0.4548,1.2876,-0.4474,0.7829,-0.336,1.5674,-0.4847,0.981,-0.5151,0.9693,-0.3492,0.7967,-0.4992,0.7387,-0.5015,0.4026,-0.3074,0.4284,-0.7852,0.171,-0.3058,0.0706,-0.7897,0.0534,-0.1951,0.0197
