Time,1,2,3,4,5,6,7,8,9,10,11,12,13,14
1.71,-0.0504,1.1291,0.7907,-0.0109,0.2602,-0.0883,-0.2839,-0.8144,-0.4891,0.2123,0.2295,0.056,-1.1297,-1.2748
1.72,-0.0491,1.1413,0.789,-0.0097,0.2594,-0.0922,-0.2851,-0.8206,-0.483,0.2288,0.1735,0.057,-1.1294,-1.2735
1.73,-0.0475,1.1537,0.7873,-0.0085,0.2582,-0.095,-0.2861,-0.8253,-0.4771,0.2451,0.1256,0.0596,-1.1309,-1.2711
1.74,-0.0458,1.1663,0.7857,-0.0071,0.2564,-0.0967,-0.2869,-0.8286,-0.4716,0.261,0.0868,0.0641,-1.1341,-1.2676
1.75,-0.0438,1.1793,0.7842,-0.0057,0.2543,-0.0973,-0.2877,-0.8303,-0.4668,0.2762,0.0578,0.0709,-1.1383,-1.2626
1.76,-0.0416,1.1925,0.7827,-0.0043,0.2517,-0.0968,-0.2885,-0.8304,-0.4627,0.2907,0.0388,0.0801,-1.1428,-1.256
1.77,-0.0392,1.2059,0.7812,-0.0028,0.2489,-0.0951,-0.2893,-0.8287,-0.4593,0.304,0.0296,0.0921,-1.1469,-1.2475
1.78,-0.0366,1.2196,0.7799,-0.0012,0.2459,-0.0924,-0.2902,-0.8251,-0.4566,0.3159,0.0296,0.1072,-1.1499,-1.2369
1.79,-0.0338,1.2334,0.7786,0.0003,0.2426,-0.0888,-0.2915,-0.8197,-0.4544,0.326,0.0377,0.1258,-1.1512,-1.224
1.8,-0.0309,1.2473,0.7774,0.0019,0.2392,-0.0843,-0.2931,-0.8123,-0.4525,0.3337,0.0527,0.1481,-1.1503,-1.2083
1.81,-0.028,1.2613,0.7764,0.0035,0.2357,-0.079,-0.2951,-0.8028,-0.4508,0.3387,0.0733,0.1744,-1.1472,-1.1896
1.82,-0.0251,1.2753,0.7755,0.005,0.2319,-0.0731,-0.2976,-0.7912,-0.4489,0.3406,0.0979,0.2048,-1.1421,-1.1675
1.83,-0.0221,1.2893,0.7748,0.0066,0.2279,-0.0667,-0.3007,-0.7774,-0.4468,0.339,0.1251,0.2394,-1.1357,-1.1415
1.84,-0.0193,1.3033,0.7743,0.0081,0.2234,-0.0598,-0.3044,-0.7613,-0.4441,0.3336,0.1536,0.2784,-1.1289,-1.1113
1.85,-0.0165,1.3173,0.774,0.0096,0.2185,-0.0526,-0.3086,-0.7429,-0.4407,0.3241,0.1823,0.3217,-1.123,-1.0765
1.86,-0.014,1.3314,0.774,0.0111,0.213,-0.0451,-0.3133,-0.7222,-0.4365,0.3107,0.2106,0.3693,-1.119,-1.0369
1.87,-0.0116,1.3455,0.7743,0.0126,0.2068,-0.0374,-0.3186,-0.6993,-0.4314,0.2935,0.238,0.421,-1.1179,-0.9923
1.88,-0.0093,1.3598,0.7748,0.014,0.2,-0.0295,-0.3243,-0.6743,-0.4253,0.2728,0.2642,0.4766,-1.1203,-0.9431
1.89,-0.0071,1.3743,0.7755,0.0155,0.1926,-0.0214,-0.3303,-0.6476,-0.4184,0.2492,0.2894,0.5355,-1.1263,-0.8901
1.9,-0.0051,1.389,0.7764,0.0169,0.1846,-0.0131,-0.3366,-0.6194,-0.4107,0.2234,0.3137,0.5971,-1.1356,-0.8348
1.91,-0.0031,1.404,0.7774,0.0184,0.1762,-0.0047,-0.3431,-0.5904,-0.4025,0.1963,0.3373,0.6605,-1.1473,-0.7792
1.92,-0.0011,1.4192,0.7785,0.0198,0.1676,0.0038,-0.3496,-0.5611,-0.394,0.1688,0.3604,0.7246,-1.1606,-0.7257
