# Model:
# Number_of_Rigid_Bodies:12
# Number_of_Frames:109
# Sampling_Frequency:100

# ***** Coordinates [m] *****
# Frame,Time,Body_1_X,Body_1_Y,Body_1_Ux,Body_1_Uy,Body_2_X,Body_2_Y,Body_2_Ux,Body_2_Uy,Body_3_X,Body_3_Y,Body_3_Ux,Body_3_Uy,Body_4_X,Body_4_Y,Body_4_Ux,Body_4_Uy,Body_5_X,Body_5_Y,Body_5_Ux,Body_5_Uy,Body_6_X,Body_6_Y,Body_6_Ux,Body_6_Uy,Body_7_X,Body_7_Y,Body_7_Ux,Body_7_Uy,Body_8_X,Body_8_Y,Body_8_Ux,Body_8_Uy,Body_9_X,Body_9_Y,Body_9_Ux,Body_9_Uy,Body_10_X,Body_10_Y,Body_10_Ux,Body_10_Uy,Body_11_X,Body_11_Y,Body_11_Ux,Body_11_Uy,Body_12_X,Body_12_Y,Body_12_Ux,Body_12_Uy,Mixed_Ang_Driver_1,Mixed_Ang_Driver_2,Mixed_Ang_Driver_3,Mixed_Ang_Driver_4,Mixed_Ang_Driver_5,Mixed_Ang_Driver_6,Mixed_Ang_Driver_7,Mixed_Ang_Driver_8,Mixed_Ang_Driver_9,Mixed_Ang_Driver_10,Mixed_Ang_Driver_11,Mixed_Ang_Driver_12
10.0,0.1,0.1218,1.0968,0.9976,-0.0166,0.1634,1.4439,0.973,-0.2404,0.0958,1.1411,0.9869,-0.1959,0.1218,1.1562,1.0038,-0.024,0.0768,0.8979,0.975,0.1906,0.1679,0.9363,0.7316,0.6751,0.1799,0.6248,0.9191,0.3972,0.0767,0.6178,0.9676,-0.2501,0.286,0.272,0.9895,0.1372,-0.0822,0.2963,0.7277,-0.6865,0.3691,0.0459,0.3497,0.938,-0.2042,0.0918,0.9671,0.252,0.0166,-0.2256,-0.1793,-0.0073,0.389,0.7691,0.4246,-0.2364,-0.2702,-0.5033,1.0761,1.0112
11.0,0.11,0.1345,1.0979,0.9976,-0.0173,0.1757,1.4449,0.9738,-0.2371,0.1102,1.1416,0.989,-0.1851,0.1332,1.1578,1.0033,-0.0352,0.0941,0.8981,0.9725,0.2031,0.1757,0.9365,0.7522,0.6522,0.1914,0.6259,0.9211,0.3921,0.0935,0.6175,0.9745,-0.2223,0.2925,0.2722,0.9927,0.1128,-0.0629,0.2981,0.7041,-0.7104,0.3702,0.0444,0.3664,0.9315,-0.1945,0.0971,0.9847,0.172,0.0173,-0.2215,-0.1676,-0.0178,0.3909,0.7494,0.4198,-0.2069,-0.2894,-0.5656,1.0829,0.9628
12.0,0.12,0.1471,1.0992,0.9976,-0.0185,0.1879,1.4461,0.9745,-0.234,0.1246,1.1424,0.991,-0.1739,0.1445,1.1595,1.0027,-0.0465,0.1114,0.8985,0.9697,0.2162,0.1833,0.9368,0.7732,0.6274,0.2023,0.627,0.9239,0.3852,0.1105,0.6173,0.9811,-0.1916,0.2984,0.2725,0.9951,0.0902,-0.0426,0.3001,0.6807,-0.7326,0.371,0.0434,0.3789,0.9263,-0.1831,0.1029,0.9952,0.097,0.0185,-0.2172,-0.1552,-0.0278,0.393,0.728,0.4135,-0.1743,-0.3046,-0.6293,1.0922,0.9193
13.0,0.13,0.1594,1.1005,0.9976,-0.0198,0.2,1.4475,0.9752,-0.2311,0.1388,1.1432,0.993,-0.1625,0.1557,1.1612,1.0021,-0.0576,0.1288,0.8992,0.9663,0.2309,0.1906,0.9371,0.7942,0.6007,0.2127,0.6281,0.9272,0.3767,0.1276,0.6173,0.9872,-0.1586,0.3036,0.2727,0.9969,0.0692,-0.0212,0.3021,0.6584,-0.7524,0.3716,0.0429,0.3855,0.9235,-0.1699,0.1089,0.9997,0.0293,0.0199,-0.2128,-0.1423,-0.0375,0.3968,0.705,0.4057,-0.1394,-0.3166,-0.6926,1.106,0.8811
14.0,0.14,0.1716,1.1019,0.9976,-0.0214,0.2121,1.4489,0.9758,-0.2285,0.1531,1.1442,0.9948,-0.151,0.1668,1.1629,1.0013,-0.0684,0.1462,0.9001,0.9624,0.2467,0.1978,0.9375,0.8151,0.5721,0.2227,0.6292,0.9313,0.3663,0.1447,0.6176,0.9923,-0.1244,0.3082,0.2728,0.9981,0.0494,0.0009,0.3045,0.6381,-0.7693,0.3719,0.0427,0.389,0.9219,-0.1547,0.115,1.0001,-0.0275,0.0214,-0.2086,-0.1292,-0.0468,0.4016,0.6801,0.3962,-0.1033,-0.3253,-0.7536,1.1221,0.8509
15.0,0.15,0.1836,1.1034,0.9976,-0.0226,0.224,1.4503,0.9762,-0.2266,0.1671,1.1453,0.9966,-0.139,0.1777,1.1648,1.0005,-0.0785,0.1636,0.9013,0.9579,0.2637,0.2048,0.938,0.8355,0.542,0.2322,0.6302,0.9361,0.3537,0.1618,0.6182,0.9962,-0.0896,0.3122,0.2729,0.9989,0.0318,0.0235,0.3071,0.6202,-0.7836,0.3722,0.0426,0.3891,0.9219,-0.1376,0.121,0.9981,-0.0716,0.0227,-0.2054,-0.1159,-0.0556,0.4073,0.6537,0.384,-0.067,-0.3295,-0.8116,1.1396,0.8296
16.0,0.16,0.1954,1.1051,0.9976,-0.0242,0.2358,1.4518,0.9766,-0.2249,0.1809,1.1466,0.9981,-0.1274,0.1886,1.1666,0.9997,-0.0885,0.1809,0.9026,0.9526,0.2823,0.2117,0.9385,0.8552,0.5104,0.2412,0.6312,0.9412,0.3396,0.1788,0.6193,0.9989,-0.0542,0.3157,0.2729,0.9992,0.0159,0.0467,0.3099,0.6052,-0.7949,0.3723,0.0427,0.3875,0.9225,-0.1186,0.1268,0.9959,-0.1012,0.0242,-0.2021,-0.1027,-0.064,0.415,0.6263,0.3705,-0.03,-0.3303,-0.8658,1.1571,0.8188
17.0,0.17,0.207,1.1067,0.9975,-0.0257,0.2475,1.4534,0.9768,-0.2239,0.1946,1.148,0.9996,-0.1154,0.1992,1.1684,0.9988,-0.0981,0.1981,0.9042,0.9466,0.3018,0.2183,0.9391,0.8735,0.4783,0.2498,0.6322,0.9467,0.3241,0.1956,0.6207,1.0003,-0.0186,0.3187,0.2728,0.9994,0.0017,0.0701,0.3129,0.5938,-0.8032,0.3722,0.0428,0.3853,0.9234,-0.0977,0.1322,0.9945,-0.1156,0.0257,-0.1996,-0.0892,-0.0722,0.4236,0.5988,0.3556,0.0071,-0.3282,-0.9156,1.1738,0.8185
18.0,0.18,0.2185,1.1085,0.9974,-0.0273,0.2591,1.4551,0.9772,-0.2226,0.2081,1.1495,1.0009,-0.1038,0.2097,1.1703,0.9978,-0.1076,0.2152,0.9059,0.9399,0.322,0.2249,0.9398,0.8908,0.4452,0.258,0.6332,0.9525,0.3068,0.2123,0.6226,1.0004,0.0165,0.3213,0.2727,0.9992,-0.0111,0.0939,0.3161,0.5861,-0.8085,0.3721,0.0429,0.3819,0.9249,-0.0751,0.137,0.9944,-0.1175,0.0273,-0.1967,-0.076,-0.0801,0.4334,0.5709,0.3389,0.0438,-0.3227,-0.96,1.1902,0.8259
19.0,0.19,0.2298,1.1104,0.9974,-0.0285,0.2705,1.4568,0.9774,-0.2219,0.2215,1.1511,1.0021,-0.0918,0.2201,1.1721,0.9969,-0.1165,0.2322,0.9077,0.9324,0.3431,0.2313,0.9406,0.9069,0.4114,0.266,0.6342,0.9582,0.2885,0.2287,0.6248,0.9993,0.0507,0.3236,0.2726,0.999,-0.0226,0.1178,0.3193,0.5829,-0.8107,0.372,0.043,0.379,0.9261,-0.0509,0.141,0.996,-0.105,0.0285,-0.1948,-0.0628,-0.0878,0.4439,0.5421,0.3209,0.0792,-0.315,-0.9981,1.205,0.8424
20.0,0.2,0.241,1.1122,0.9973,-0.0302,0.2818,1.4585,0.9776,-0.221,0.2347,1.1527,1.0031,-0.0805,0.2304,1.174,0.9958,-0.1258,0.2491,0.9098,0.9242,0.3645,0.2376,0.9415,0.9214,0.3777,0.2736,0.6351,0.9638,0.2694,0.2447,0.6273,0.997,0.0848,0.3256,0.2725,0.9987,-0.0326,0.1417,0.3224,0.5837,-0.81,0.3719,0.0431,0.3774,0.9268,-0.0253,0.1441,0.9984,-0.08,0.0303,-0.1921,-0.0498,-0.0954,0.4557,0.5147,0.3029,0.1151,-0.3052,-1.0312,1.2168,0.8664
21.0,0.21,0.2521,1.1141,0.9972,-0.0319,0.293,1.4602,0.9778,-0.2202,0.2477,1.1544,1.004,-0.0697,0.2406,1.1759,0.9947,-0.1352,0.2656,0.912,0.9154,0.3861,0.2437,0.9426,0.9343,0.3442,0.2811,0.6361,0.9691,0.2501,0.2605,0.6301,0.9937,0.1178,0.3275,0.2724,0.9982,-0.0421,0.1655,0.3253,0.5893,-0.8058,0.3718,0.0432,0.3771,0.927,0.0016,0.1461,1.0006,-0.0455,0.032,-0.1894,-0.0373,-0.1031,0.4684,0.4881,0.2845,0.15,-0.2946,-1.0574,1.2266,0.894
22.0,0.22,0.2631,1.116,0.9971,-0.0334,0.3042,1.4619,0.978,-0.2195,0.2607,1.1562,1.0047,-0.0589,0.2506,1.1778,0.9934,-0.1446,0.2821,0.9143,0.9059,0.4078,0.2498,0.9439,0.946,0.3106,0.2886,0.637,0.9741,0.23,0.2761,0.633,0.9894,0.1495,0.3293,0.2722,0.9978,-0.0508,0.1893,0.3278,0.599,-0.7985,0.3717,0.0432,0.3763,0.9274,0.0295,0.1469,1.0016,-0.0028,0.0335,-0.1873,-0.0251,-0.111,0.4816,0.4618,0.2654,0.1835,-0.2828,-1.0771,1.2363,0.9244
